"Path","GB"
"C:\Windows","33.666"
"C:\PROXe-wt","20.751"
"C:\Windows\WinSxS","11.967"
"C:\Program Files (x86)","10.805"
"C:\Program Files","10.023"
"C:\GO PROXe","7.957"
"C:\Windows\System32","6.397"
"C:\Windows\SoftwareDistribution","6.367"
"C:\Windows\SoftwareDistribution\Download","6.311"
"C:\Windows\SoftwareDistribution\Download\8816d51ca4bceaa4","6.033"
"C:\Windows\SoftwareDistribution\Download\8816d51ca4bceaa4\Package_for_RollupFix~~amd64~~26100.9445.1.26","5.564"
"C:\Program Files\Microsoft Office","4.126"
"C:\Program Files\Microsoft Office\root","4.106"
"C:\Program Files (x86)\Microsoft","3.674"
"C:\Program Files (x86)\Microsoft Visual Studio","3.472"
"C:\PROXe-wt\repo-stabilize-20260908","3.358"
"C:\Program Files (x86)\Microsoft Visual Studio\2022","3.344"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools","3.344"
"C:\GO PROXe\core","3.309"
"C:\PROXe-wt\billing","3.261"
"C:\PROXe-wt\billing\core","3.222"
"C:\Windows\assembly","3.187"
"C:\PROXe-wt\support","2.624"
"C:\ProgramData","2.515"
"C:\PROXe-wt\repo-stabilize-20260908\core","2.433"
"C:\Program Files\Microsoft Office\root\Office16","2.188"
"C:\PROXe-wt\support\core","2.137"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC","2.106"
"C:\PROXe-wt\instagram-review-20260909","2.045"
"C:\PROXe-wt\instagram-review-20260909\core","2.005"
"C:\GO PROXe\.worktrees","1.969"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909","1.969"
"C:\Windows\System32\DriverStore","1.954"
"C:\Windows\System32\DriverStore\FileRepository","1.952"
"C:\ProgramData\Microsoft","1.82"
"C:\Program Files\Microsoft Office\root\vfs","1.778"
"C:\PROXe-wt\support\core\.next","1.695"
"C:\PROXe-wt\support\core\.next\cache","1.651"
"C:\Program Files (x86)\Microsoft\EdgeCore","1.62"
"C:\PROXe-wt\fix2","1.565"
"C:\PROXe-wt\instagram-review-20260909\core\.next-scope-verify","1.56"
"C:\PROXe-wt\repo-stabilize-20260908\core\.next","1.555"
"C:\PROXe-wt\fix2\core","1.525"
"C:\PROXe-wt\instagram-review-20260909\core\.next-scope-verify\cache","1.509"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909\core","1.504"
"C:\PROXe-wt\repo-stabilize-20260908\core\.next\cache","1.502"
"C:\Windows\assembly\NativeImages_v4.0.30319_32","1.501"
"C:\GO PROXe\core\.next-v2","1.492"
"C:\Program Files (x86)\Google","1.479"
"C:\GO PROXe\core\.next-v2\cache\webpack","1.444"
"C:\GO PROXe\core\.next-v2\cache","1.444"
"C:\Program Files\Google","1.412"
"C:\Program Files (x86)\Steam","1.329"
"C:\Windows\assembly\NativeImages_v4.0.30319_64","1.32"
"C:\Windows\SystemApps","1.28"
"C:\ProgramData\Microsoft\VisualStudio","1.263"
"C:\ProgramData\Microsoft\VisualStudio\Packages","1.257"
"C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_1e426c8ad6959cb5","1.244"
"C:\Windows\SysWOW64","1.235"
"C:\GO PROXe\brands","1.067"
"C:\PROXe-wt\gp-billing","1.04"
"C:\Program Files\BraveSoftware","1.039"
"C:\Program Files\BraveSoftware\Brave-Browser","1.039"
"C:\Program Files\BraveSoftware\Brave-Browser\Application","1.039"
"C:\Program Files\BraveSoftware\Brave-Browser\Application\152.1.94.121","1.032"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\Common7","1.024"
"C:\Program Files (x86)\Microsoft\Edge\Application","1.012"
"C:\Program Files (x86)\Microsoft\Edge","1.012"
"C:\Program Files (x86)\Microsoft\Edge\Application\152.0.4191.66","0.999"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application","0.989"
"C:\Program Files (x86)\Microsoft\EdgeWebView","0.989"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66","0.988"
"C:\Program Files\Google\Chrome","0.982"
"C:\Program Files\Google\Chrome\Application","0.982"
"C:\PROXe-wt\support-host-runtime","0.94"
"C:\PROXe-wt\billing\core\.next-bwt\dev","0.924"
"C:\PROXe-wt\billing\core\.next-bwt","0.924"
"C:\PROXe-wt\arc-outreach-qualification","0.904"
"C:\PROXe-wt\igbrand2","0.902"
"C:\PROXe-wt\igsend","0.9"
"C:\PROXe-wt\ig-routing","0.9"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64","0.882"
"C:\PROXe-wt\support-host-runtime\core","0.877"
"C:\PROXe-wt\support-host-runtime\core\node_modules","0.869"
"C:\PROXe-wt\repo-stabilize-20260908\core\node_modules","0.869"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909\core\node_modules","0.869"
"C:\PROXe-wt\arc-outreach-qualification\core","0.864"
"C:\PROXe-wt\igbrand2\core","0.864"
"C:\PROXe-wt\igsend\core","0.863"
"C:\PROXe-wt\ig-routing\core","0.863"
"C:\PROXe-wt\arc-outreach-qualification\core\node_modules","0.856"
"C:\PROXe-wt\igbrand2\core\node_modules","0.856"
"C:\PROXe-wt\igsend\core\node_modules","0.856"
"C:\PROXe-wt\billing\core\node_modules","0.856"
"C:\PROXe-wt\ig-routing\core\node_modules","0.856"
"C:\PROXe-wt\fix2\core\node_modules","0.856"
"C:\GO PROXe\.git","0.835"
"C:\PROXe-wt\billing\core\.next-proxe-wt","0.824"
"C:\PROXe-wt\billing\core\.next-proxe-wt\dev","0.824"
"C:\PROXe-wt\pipeline","0.817"
"C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66","0.81"
"C:\Program Files (x86)\Microsoft\EdgeCore\Optimized","0.81"
"C:\GO PROXe\.git\objects","0.797"
"C:\GO PROXe\.git\objects\pack","0.783"
"C:\Program Files (x86)\Google\GoogleUpdater","0.772"
"C:\GO PROXe\.multi","0.769"
"C:\Program Files (x86)\Google\GoogleUpdater\crx_cache","0.752"
"C:\xampp","0.748"
"C:\GO PROXe\.multi\lokazen-fresh","0.742"
"C:\GO PROXe\brands\pop","0.737"
"C:\GO PROXe\.multi\lokazen-fresh\node_modules","0.737"
"C:\GO PROXe\brands\pop\agent","0.728"
"C:\Windows\Installer","0.724"
"C:\GO PROXe\brands\pop\agent\node_modules","0.724"
"C:\Program Files (x86)\Steam\bin","0.719"
"C:\Windows\Microsoft.NET","0.702"
"C:\Program Files (x86)\Google\Cloud SDK\google-cloud-sdk","0.699"
"C:\Program Files (x86)\Google\Cloud SDK","0.699"
"C:\Program Files (x86)\Steam\bin\cef","0.666"
"C:\PROXe-wt\fix2\core\.next","0.661"
"C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.9168_none_2ed5c4a73aa7375f","0.632"
"C:\Windows\System32\Microsoft-Edge-WebView","0.632"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909\core\.next","0.627"
"C:\PROXe-wt\billing\core\.next-demo","0.609"
"C:\.pnpm","0.609"
"C:\GO PROXe\core\.next-yvhomes","0.603"
"C:\GO PROXe\core\.next-yvhomes\dev","0.603"
"C:\Program Files\Unity Hub","0.564"
"C:\PROXe-wt\bdr-call-controls-20260909","0.561"
"C:\PROXe-wt\gp-billing\node_modules","0.554"
"C:\Program Files\Microsoft Office\root\Office16\sdxs","0.55"
"C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.1_none_8fe1c356f34a19ca","0.521"
"C:\GO PROXe\core\.next","0.511"
"C:\Program Files (x86)\Google\Cloud SDK\google-cloud-sdk\lib","0.505"
"C:\PROXe-wt\bdr-call-controls-20260909\.next-call-controls-build","0.489"
"C:\Program Files\Google\Chrome\Application\152.0.7977.76","0.482"
"C:\Program Files\Google\Chrome\Application\152.0.7977.83","0.482"
"C:\PROXe-wt\grok-support-loop","0.474"
"C:\PROXe-wt\grok-support-loop\support","0.473"
"C:\PROXe-wt\bdr-call-controls-20260909\.next-call-controls-build\cache","0.469"
"C:\PROXe-wt\bdr-call-controls-20260909\.next-call-controls-build\cache\webpack","0.469"
"C:\PROXe-wt\repo-stabilize-20260908\support","0.458"
"C:\PROXe-wt\gp-billing\.next","0.457"
"C:\PROXe-wt\pipeline\support","0.456"
"C:\Program Files\obs-studio","0.455"
"C:\PROXe-wt\support\support","0.449"
"C:\PROXe-wt\gp-billing\.next\cache","0.443"
"C:\PROXe-wt\gp-billing\.next\cache\webpack","0.443"
"C:\PROXe-wt\instagram-review-20260909\core\.next-login-verify\dev","0.436"
"C:\PROXe-wt\instagram-review-20260909\core\.next-login-verify","0.436"
"C:\ProgramData\Microsoft\Windows Defender","0.436"
"C:\PROXe-wt\fix2\core\.next\cache","0.432"
"C:\Program Files\Google\Drive File Stream","0.431"
"C:\PROXe-wt\repo-stabilize-20260908\superadmin","0.428"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909\superadmin","0.425"
"C:\Program Files\Git","0.401"
"C:\GO PROXe\core\.next-yvhomes\dev\cache","0.401"
"C:\Windows\servicing","0.39"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX86","0.388"
"C:\Program Files\Microsoft Office\root\Office16\ADDINS","0.382"
"C:\PROXe-wt\billing\core\.next-demo\cache","0.38"
"C:\GO PROXe\core\.next-wc-b","0.38"
"C:\Windows\Fonts","0.377"
"C:\Windows\System32\winevt","0.376"
"C:\Windows\System32\winevt\Logs","0.376"
"C:\PROXe-wt\repo-stabilize-20260908\support\node_modules","0.364"
"C:\Program Files\Google\Drive File Stream\130.0.2.0","0.361"
"C:\PROXe-wt\pipeline\superadmin","0.36"
"C:\GO PROXe\.worktrees\superadmin-login-minimal-20260909\superadmin\node_modules","0.357"
"C:\PROXe-wt\repo-stabilize-20260908\superadmin\node_modules","0.357"
"C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38","0.356"
"C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates","0.356"
"C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB","0.356"
"C:\PROXe-wt\grok-support-loop\support\node_modules","0.355"
"C:\GO PROXe\core\.next\cache\turbopack","0.349"
"C:\GO PROXe\core\.next\cache","0.349"
"C:\Program Files (x86)\Steam\bin\cef\cef.win7x64","0.334"
"C:\PROXe-wt\pipeline\support\node_modules","0.331"
"C:\PROXe-wt\support\support\node_modules","0.331"
"C:\Program Files (x86)\Steam\bin\cef\cef.win64","0.331"
"C:\Windows\WinSxS\Temp","0.324"
"C:\Windows\SoftwareDistribution\Download\8816d51ca4bceaa4\Metadata","0.324"
"C:\Windows\WinSxS\Temp\InFlight","0.323"
"C:\PROXe-wt\pipeline\superadmin\node_modules","0.323"
"C:\GO PROXe\core\.next-laptopstore\dev","0.315"
"C:\GO PROXe\core\.next-laptopstore","0.315"
"C:\Program Files\Mozilla Firefox","0.313"
"C:\GO PROXe\brands\lokazen","0.303"
"C:\GO PROXe\brands\lokazen\agent","0.302"
"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy","0.3"
"C:\PROXe-wt\support\core\.next-dev\dev","0.298"
"C:\GO PROXe\brands\lokazen\agent\.next","0.298"
"C:\PROXe-wt\support\core\.next-dev","0.298"
"C:\Program Files\obs-studio\obs-plugins","0.295"
"C:\Program Files\obs-studio\obs-plugins\64bit","0.295"
"C:\Windows\servicing\Sessions","0.292"
"C:\Windows\Microsoft.NET\Framework64","0.275"
"C:\Windows\Microsoft.NET\Framework","0.255"
"C:\Program Files (x86)\Common Files","0.242"
"C:\Windows\WinSxS\amd64_windows-senseclient-service_31bf3856ad364e35_10.0.26100.8521_none_43ddc3783f41dd6a","0.24"
"C:\Program Files\Windows Defender Advanced Threat Protection","0.24"
"C:\Program Files\Common Files","0.238"
"C:\Program Files (x86)\Steam\package","0.231"
"C:\ProgramData\Microsoft\Windows Defender\Platform","0.226"
"C:\PROXe-wt\billing\core\.next-demo\server","0.223"
"C:\Program Files\Git\mingw64","0.222"
"C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.C1d3c2215#","0.222"
"C:\PROXe-wt\fix2\core\.next\server","0.222"
"C:\xampp\mysql","0.218"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX86","0.217"
"C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{5D291CD0-00C8-44B2-9D83-CED3C3472892}","0.21"
"C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy","0.21"
"C:\ProgramData\Microsoft\Windows Defender\Definition Updates","0.21"
"C:\Windows\SystemResources","0.204"
"C:\.pnpm\onnxruntime-node@1.21.0\node_modules\onnxruntime-node\bin","0.203"
"C:\.pnpm\onnxruntime-node@1.21.0\node_modules\onnxruntime-node","0.203"
"C:\.pnpm\onnxruntime-node@1.21.0\node_modules","0.203"
"C:\.pnpm\onnxruntime-node@1.21.0","0.203"
"C:\Windows\WinSxS\Catalogs","0.198"
"C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.Cbf18da00#","0.194"
"C:\Windows\WinSxS\amd64_userexperience-desktop_31bf3856ad364e35_10.0.26100.8972_none_c7e89dbd1a7347a5","0.193"
